Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
preddiplomski sveučilišni,Poslovni sustavi,3,6,72639,Vođenje projekata,Dušak Vesna Žajdela Hrustek Nikolina,4,NE
preddiplomski sveučilišni,Poslovni sustavi,3,6,72633,Web dizajn i programiranje,Kermek Dragutin Kaniški Matija Novak Matija Radošević Danijel Drabić Dejan,7,NE
preddiplomski sveučilišni,Poslovni sustavi,3,6,40738,Završni rad,,8,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128652,Makroekonomika za poduzetnike,Čavrak Vladimir Šmaguc Tamara,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128651,Marketing,Dobrinić Damir Gregurec Iva Tomašek Lucija,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128655,Poslovni engleski jezik 2,Kovačić Andreja,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128654,Poslovni njemački jezik 2,Antolić Petak Andreja Bunić Branko,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128648,Računovodstvo,Sever Mališ Sanja Žager Lajoš Keglević Kozjak Suzana Brozović Mateja Šestanj Perić Tanja,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128649,Statistika,Dobša Jasminka Šimić Diana Buhin Pandur Maja Gusić Jelena,7,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,3,128694,Tjelesna i zdravstvena kultura 3,Vučić Damir,1,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128659,Financijske institucije i tržišta,Klačmer Čalopa Marina Kovšca Vladimir Đunđek Kokotec Ivana Kokot Karolina,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128666,Menadžment malog poduzeća,Malbašić Ivan,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128657,Poduzetničke financije,Orsag SilvijeZoričić DavorĐunđek Kokotec IvanaKorent DinaSabol AndrijaDolinar Denis,7,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128660,Porezni sustavi,Šimurina Nika Šimović Hrvoje Barbić Dajana,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128662,Poslovni informacijski sustavi,Picek Ruben Mijač Marko Sokač Danijel,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128695,Tjelesna i zdravstvena kultura 4,Vučić Damir,1,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,2,4,128664,Transport i špedicija,Dvorski Stjepan Dvorski Lacković Ivana Keglević Kozjak Suzana Kovšca Vladimir Lacković Vincek Zrinka Novak Ema,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128670,Analiza financijskih izvještaja,Ježovita Ana Sever Mališ Sanja Žager Lajoš Keglević Kozjak Suzana Šestanj Perić Tanja Brozović Mateja,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128678,Informacijski sustavi proizvodnje,Picek Ruben Strahonja Vjeran,4,NE
preddiplomski sveučilišni,Ekonomika poduzetništva,3,5,128677,Informacijski sustavi u uredskom poslovanju,Mekovec Renata Sabati Zvonimir Peras Dijana,4,NE
